ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
215,variable,WD-jsjsn215-ljjk,Anti-Slip Glasses Nose Pads (2 Sheets),1,0,visible,This is a variable product.,"<h3>
<strong> </strong><strong><span>These Pads Hold Your Specs In Place Without The Pressure!</span></strong>
</h3>
<p><strong><span><img src=""https://media.giphy.com/media/cOR0rxygIojwn7uy3O/giphy.gif""></span></strong></p>
<p>Are you fed up with your<span> </span><span><strong>glasses constantly slipping down or pinching the bridge of your nose</strong>?</span><span> </span>Make them<span> </span><span><strong>stay in place all day long with our Anti-Slip Glasses Nose Pads!</strong></span></p>
<p>These Anti-Slip Glasses Nose Pads are<span> </span><span><strong>perfect for just about any plastic frame.</strong></span><span> </span>Shaped to slide onto either side of your nose, the<span> <strong>super-soft foam sticks to the frames</strong> </span>while<span> <strong>gently forming to the shape of your nose for maximum comfort</strong>. </span>And at<span> </span><span><strong>only 1/1.5 millimeter in thickness</strong></span>, they're<span> </span><span><strong>discreet and totally adjustable</strong></span><span> </span>— just layer pads until you reach the desired thickness.</p>
<p><strong>FEATURES</strong></p>
<ul>
<li>
<span><strong>Prevents your glasses from sliding</strong></span><span> </span>off your nose</li>
<li>
<span><strong>Relieves pressure</strong> </span>on your nose bridge</li>
<li>
<span><strong>Reduces the pain you feel</strong> </span>when you wear your glasses for a long period of time</li>
<li><span><strong>No more spectacle marks!</strong></span></li>
<li>
<span><strong>Breathable</strong> </span>for comfy all-day wear!</li>
<li>
<span><strong>Absorbs sweat</strong></span><span> </span>and moisture</li>
<li>
<strong><span>Easy attachment without mess</span>,</strong><span> </span>just remove the protective film and attach</li>
<li>
<span><strong>Suitable for all types of eyewear,</strong> </span>your sunnies, corrective or reading glasses</li>
<li><span><strong>Jog or exercise without having to adjust your glasses all the time!</strong></span></li>
</ul>
<p><span><strong><img src=""https://cdn.shopify.com/s/files/1/0281/0934/0810/files/8_6a10434a-ad97-43f3-ba04-fc4aabb2c1ec_480x480.png?v=1584412567"" alt=""""></strong></span></p>
<p><strong>SPECIFICATIONS</strong></p>
<ul>
<li>
<strong>Material:</strong><span> </span>Foam</li>
<li>
<strong>Color:</strong><span> </span>Skin</li>
<li>
<strong>Thickness:</strong><span> </span>1mm/1.5mm</li>
</ul>
<p><img src=""https://cdn.shopify.com/s/files/1/0281/0934/0810/files/7_480x480.png?v=1584412586"" alt=""""></p>
<p><strong>PACKAGE INCLUDES</strong></p>
<ul>
<li>2sheets(10pairs) x Anti-Slip Glasses Nose Pads</li>
</ul>",,,taxable,,1,,0,0,,,,,1,,,,catalog,,,"https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/1_a6baefb2-cf60-45a9-b0f6-ebab12f0562f.png?v=1600318434, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/2_3d2a36ff-97f0-4dc1-85a9-e97e61f539fe.png?v=1600318435, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/3_a124477b-a4b5-4642-abc4-72c9963c16d9.png?v=1600318437, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/4_0b5bc611-fd82-4635-b3b0-b8194b7987a0.png?v=1600318439, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/5_131d36ef-72db-4281-b414-60aff899ce46.png?v=1600318441, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/6_57c490f5-b2d7-408e-8657-943477f7f4d0.png?v=1600318443, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/7_95c447da-25c9-4d6c-b07e-d517b8e2e98e.png?v=1600318444, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/8_d2a846b7-a035-4102-8acb-f9213c6d0a05.png?v=1600318446, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/1mm.png?v=1600318447, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/1.5mm.png?v=1600318449, https://cdn.shopifycdn.net/s/files/1/0450/4721/8334/products/10_c8d33ce9-75cf-4c35-b67b-491f60239c9d.png?v=1600318451",,,,,,,,,0,Size,"1mm, 1.5mm",1,1,Color,"Black, Beige",1,1,,,,,1
216,variation,20-0916-023-Black-1mm,Anti-Slip Glasses Nose Pads (2 Sheets),1,0,visible,,,,,taxable,,1,,0,0,,,,,0,,16.97,25.99,,,,,,,WD-jsjsn215-ljjk,,,,,,0,Size,1mm,,1,Color,Black,,1,,,,
